Districts,Subdistricts,,,,,,,,,
Ainaro,Ainaro,,,,,,,,,
Aileiu,Remexio,,,,,,,,,
Manatuto,Laclo,,,,,,,,,
Aileiu,Laulara,,,,,,,,,
Ermera,Hatolia,,,,,,,,,
Liquica,Bazartete,,,,,,,,,
Liquica,Liquica,,,,,,,,,
Ermera,Lete Foho,,,,,,,,,
Ermera,Railaco,,,,,,,,,
Liquica,Maubara,,,,,,,,,
Manufahi,Same,,,,,,,,,
Manatuto,Barique,,,,,,,,,
Manatuto,Laclubar,,,,,,,,,
Manufahi,Alas,,,,,,,,,
Covalima,Fatumea,,,,,,,,,
Manatuto,Manatuto,,,,,,,,,
Covalima,Mau katar,,,,,,,,,
Manatuto,Soibada,,,,,,,,,
Manufahi,Fatuberliu,,,,,,,,,
Manufahi,Turiscal,,,,,,,,,
Covalima,Fatululik,,,,,,,,,
Ainaro,Hatu Udo,,,,,,,,,
Ainaro,Maubisse,,,,,,,,,
Ermera,Ermera Villa,,,,,,,,,
Covalima,Suai Villa ,,,,,,,,,
Aileiu,Aileu Villa,,,,,,,,,
Aileiu,Liquidoe,,,,,,,,,
Ermera,Atsabe,,,,,,,,,
Ainaro,Hatu Builico,,,,,,,,,
Baucau,Laga,,,,,,,,,
Covalima,Fohoren,,,,,,,,,
Baucau,Bauguia,,,,,,,,,
Covalima,Zumalai,,,,,,,,,
Baucau,Baucau Vila,,,,,,,,,
Covalima,Tilomar,,,,,,,,,
Baucau,Quelicai,,,,,,,,,
Baucau,Vemasse,,,,,,,,,
Baucau,Venilale,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,